Datum,Tijd,Thuis,Gast,Sporthal,Uitslag,Sets_Home,Sets_Away,Points_Home,Points_Away
Ma 22-sep-'25,19:30,Pegasus 1,PBF Volleybal 2,"Sporthuis Reusel  Schutsboom 1, Reusel","3-0 25-21, 25-21, 26-24",3,0,3,0
Ma 22-sep-'25,20:30,Ledûb volleybal 1,Bravo 3,"Zuiderpoort  Sportlaan 7, Budel","3-0 25-20, 25-20, 25-18",3,0,3,0
Do 25-sep-'25,21:00,ABC Volleybal 3,Best 4,"Frits Philips  Avignonlaan 1, Eindhoven","1-2 25-14, 25-27, 21-25",1,2,1,2
Do 25-sep-'25,21:30,Primo 2,ODI 3,"Genderbeemd  Sterkenburg 616, Eindhoven","1-2 20-25, 25-16, 13-25",1,2,1,2
Ma 29-sep-'25,20:30,Bravo 3,Pegasus 1,"De Wedert  Pastoor Heerkensdreef 29, Valkenswaard","1-2 10-25, 20-25, 25-19",1,2,1,2
Wo 01-okt-'25,19:15,PBF Volleybal 2,MVC de Hangar 2,"Tivoli  Geert Grootestraat 72, Eindhoven","1-2 25-22, 22-25, 16-25",1,2,1,2
Di 07-okt-'25,19:30,MVC de Hangar 2,Pegasus 1,"Meerrijk  Meerbos 4, Eindhoven","3-0 25-23, 29-27, 25-16",3,0,3,0
Wo 08-okt-'25,21:00,ODI 3,Best 4,"De Klep  Sportparklaan 4, Middelbeers","2-1 25-19, 25-21, 23-25",2,1,2,1
Do 09-okt-'25,21:00,ABC Volleybal 3,Bravo 3,"Frits Philips  Avignonlaan 1, Eindhoven","3-0 26-24, 25-19, 25-12",3,0,3,0
Ma 27-okt-'25,19:30,Pegasus 1,ABC Volleybal 3,"Sporthuis Reusel  Schutsboom 1, Reusel","0-3 22-25, 24-26, 23-25",0,3,0,3
Ma 27-okt-'25,20:30,Ledûb volleybal 1,MVC de Hangar 2,"Zuiderpoort  Sportlaan 7, Budel","1-2 22-25, 21-25, 25-17",1,2,1,2
Ma 27-okt-'25,20:30,Bravo 3,ODI 3,"De Wedert  Pastoor Heerkensdreef 29, Valkenswaard","0-3 18-25, 18-25, 9-25",0,3,0,3
Ma 03-nov-'25,20:30,Ledûb volleybal 1,Pegasus 1,"Zuiderpoort  Sportlaan 7, Budel","2-1 25-16, 18-25, 25-18",2,1,2,1
Di 04-nov-'25,19:30,MVC de Hangar 2,Best 4,"Meerrijk  Meerbos 4, Eindhoven","2-1 28-26, 25-22, 22-25",2,1,2,1
Wo 05-nov-'25,19:15,PBF Volleybal 2,Bravo 3,"Tivoli  Geert Grootestraat 72, Eindhoven","2-1 25-20, 25-20, 22-25",2,1,2,1
Do 06-nov-'25,21:30,Primo 2,ABC Volleybal 3,"Genderbeemd  Sterkenburg 616, Eindhoven","2-1 18-25, 25-21, 25-16",2,1,2,1
Ma 10-nov-'25,19:30,Pegasus 1,Primo 2,"Sporthuis Reusel  Schutsboom 1, Reusel","1-2 25-18, 16-25, 18-25",1,2,1,2
Ma 10-nov-'25,20:30,Bravo 3,MVC de Hangar 2,"De Wedert  Pastoor Heerkensdreef 29, Valkenswaard","0-3 15-25, 23-25, 17-25",0,3,0,3
Wo 12-nov-'25,19:30,ODI 3,Ledûb volleybal 1,"De Klep  Sportparklaan 4, Middelbeers","2-1 15-25, 25-22, 25-19",2,1,2,1
Do 13-nov-'25,21:00,ABC Volleybal 3,PBF Volleybal 2,"Frits Philips  Avignonlaan 1, Eindhoven","2-1 18-25, 25-15, 25-11",2,1,2,1
Wo 19-nov-'25,20:00,Best 4,Ledûb volleybal 1,"Naesten Best  Pr. Beatrixlaan 27, Best","2-1 25-21, 23-25, 25-20",2,1,2,1
Do 20-nov-'25,20:00,Primo 2,PBF Volleybal 2,"Genderbeemd  Sterkenburg 616, Eindhoven","3-0 25-19, 25-16, 25-20",3,0,3,0
Ma 24-nov-'25,20:30,Ledûb volleybal 1,ABC Volleybal 3,"Zuiderpoort  Sportlaan 7, Budel","0-3 16-25, 19-25, 19-25",0,3,0,3
Wo 26-nov-'25,19:15,PBF Volleybal 2,ODI 3,"Tivoli  Geert Grootestraat 72, Eindhoven","0-3 11-25, 14-25, 15-25",0,3,0,3
Wo 26-nov-'25,20:00,Best 4,Bravo 3,"Naesten Best  Pr. Beatrixlaan 27, Best","1-2 25-14, 23-25, 17-25",1,2,1,2
Do 27-nov-'25,20:00,Primo 2,MVC de Hangar 2,"Genderbeemd  Sterkenburg 616, Eindhoven","1-2 25-20, 21-25, 18-25",1,2,1,2
Di 02-dec-'25,19:30,MVC de Hangar 2,ABC Volleybal 3,"Meerrijk  Meerbos 4, Eindhoven","3-0 25-17, 25-17, 25-16",3,0,3,0
Wo 03-dec-'25,21:00,ODI 3,Pegasus 1,"De Klep  Sportparklaan 4, Middelbeers","2-1 23-25, 25-18, 25-18",2,1,2,1
Ma 08-dec-'25,19:30,Pegasus 1,Best 4,"Sporthuis Reusel  Schutsboom 1, Reusel","0-3 16-25, 18-25, 13-25",0,3,0,3
Ma 08-dec-'25,20:30,Ledûb volleybal 1,PBF Volleybal 2,"Zuiderpoort  Sportlaan 7, Budel","3-0 25-23, 25-21, 26-24",3,0,3,0
Ma 08-dec-'25,20:30,Bravo 3,Primo 2,"De Wedert  Pastoor Heerkensdreef 29, Valkenswaard","1-2 17-25, 27-25, 11-25",1,2,1,2
Di 09-dec-'25,19:30,MVC de Hangar 2,ODI 3,"Meerrijk  Meerbos 4, Eindhoven","0-3 18-25, 20-25, 17-25",0,3,0,3
Wo 17-dec-'25,20:00,Best 4,Primo 2,"Naesten Best  Pr. Beatrixlaan 27, Best","3-0 25-15, 25-11, 25-20",3,0,3,0
Wo 17-dec-'25,21:00,ODI 3,ABC Volleybal 3,"De Klep  Sportparklaan 4, Middelbeers","2-1 14-25, 25-23, 25-19",2,1,2,1
